Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",179.324000,-147.345400,90.000000,top
"C2","2.2u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",171.957400,-139.979400,180.000000,top
"C3","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.131400,-131.572000,180.000000,top
"C4","22u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",166.077500,-146.558000,180.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.612200,-132.080000,180.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.317800,-123.190000,0.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.271600,-132.080000,180.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.951800,-123.190000,0.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.084000,-127.254000,180.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",175.133000,-119.126000,90.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.097700,-132.090650,180.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.752500,-123.200650,0.000000,top
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.123400,-132.080000,180.000000,top
"C14","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.802500,-123.190000,0.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.149000,-148.844000,-90.000000,top
"D1","D_Schottky","D_PowerDI-123",170.179400,-145.708000,90.000000,top
"H1","MountingHole","MountingHole_3mm",156.210000,-137.160000,0.000000,top
"H2","MountingHole","MountingHole_3mm",100.330000,-137.160000,0.000000,top
"H3","MountingHole","MountingHole_3mm",104.140000,-121.920000,0.000000,top
"H4","MountingHole","MountingHole_3mm",143.510000,-121.920000,0.000000,top
"J1","RCJ-2221 ","CUI_DEVICES_RCJ-2211",93.810667,-105.283000,0.000000,top
"J2","RCJ-2221 ","CUI_DEVICES_RCJ-2211",113.538000,-105.283000,0.000000,top
"J3","RCJ-2221 ","CUI_DEVICES_RCJ-2211",133.350000,-105.283000,0.000000,top
"J4","RCJ-2221 ","CUI_DEVICES_RCJ-2211",153.035000,-105.283000,0.000000,top
"J5","RCJ-2221 ","CUI_DEVICES_RCJ-2211",172.720000,-105.283000,0.000000,top
"J6","PowerConnector","PinHeader_1x02_P2.54mm_Vertical",170.434000,-150.368000,90.000000,top
"J7","PowerConnector","PinHeader_1x02_P2.54mm_Vertical",179.070000,-135.056800,180.000000,top
"J8","PowerConnector","PinHeader_1x02_P2.54mm_Vertical",161.925000,-135.387000,180.000000,top
"L1","22u","L_Ferrocore_DLG-0403",177.545400,-139.979400,180.000000,top
"L2","22u","L_Ferrocore_DLG-0403",166.369400,-139.979400,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.260000,-123.698000,180.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.260000,-121.412000,180.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.260000,-119.126000,180.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.260000,-116.840000,180.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.846000,-122.428000,0.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.846000,-120.142000,0.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.846000,-117.856000,0.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.846000,-115.570000,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.260000,-125.984000,0.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.846000,-124.714000,180.000000,top
"RFB1","88.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.131400,-135.382000,0.000000,top
"RFB2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.941400,-135.382000,0.000000,top
"RV1","10k","Potentiometer_Alps_RK09L_Double_Horizontal",91.310667,-149.860000,90.000000,top
"RV2","10k","Potentiometer_Alps_RK09L_Double_Horizontal",111.038000,-149.860000,90.000000,top
"RV3","10k","Potentiometer_Alps_RK09L_Double_Horizontal",130.850000,-149.860000,90.000000,top
"RV4","10k","Potentiometer_Alps_RK09L_Double_Horizontal",150.535000,-149.860000,90.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",93.624400,-127.635000,180.000000,top
"U2","TL072","SOIC-8_3.9x4.9mm_P1.27mm",112.965000,-127.635000,180.000000,top
"U3","TL072","SOIC-8_3.9x4.9mm_P1.27mm",133.436300,-127.645650,180.000000,top
"U4","TL072","SOIC-8_3.9x4.9mm_P1.27mm",152.462000,-127.635000,180.000000,top
"U5","TL072","SOIC-8_3.9x4.9mm_P1.27mm",172.115000,-125.349000,180.000000,top
"U6","LM2611AMF/NOPB ","SOT-23-5",175.005400,-145.059400,0.000000,top
